Method,apc (sample),apc (sample),apc (sample),baseline (sample),baseline (sample),baseline (sample),icd (greedy),icd (greedy),icd (greedy),icd (sample),icd (sample),icd (sample),olm (greedy),olm (greedy),olm (greedy),pba (greedy),pba (greedy),pba (greedy),sid (greedy),sid (greedy),sid (greedy),sid (sample),sid (sample),sid (sample),vcd (greedy),vcd (greedy),vcd (greedy),vcd (sample),vcd (sample),vcd (sample)
Metric,Y->N,N->Y,Score,Y->N,N->Y,Score,Y->N,N->Y,Score,Y->N,N->Y,Score,Y->N,N->Y,Score,Y->N,N->Y,Score,Y->N,N->Y,Score,Y->N,N->Y,Score,Y->N,N->Y,Score,Y->N,N->Y,Score
Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCR,6.0,7.0,0.7,4.0,8.0,0.625,2.0,0.0,0.725,6.0,3.0,0.6,0.0,14.0,0.575,0.0,5.0,0.75,2.0,1.0,0.75,4.0,8.0,0.675,3.0,2.0,0.8,7.0,7.0,0.575
artwork,45.0,47.0,0.6375,41.0,58.0,0.665,19.0,1.0,0.7175,45.0,39.0,0.7025,0.0,109.0,0.65,0.0,60.0,0.7175,23.0,10.0,0.755,36.0,40.0,0.6925,2.0,88.0,0.6875,13.0,84.0,0.685
celebrity,44.0,46.0,0.6353,33.0,63.0,0.6765,19.0,0.0,0.7794,43.0,38.0,0.6853,0.0,96.0,0.7529,0.0,71.0,0.7559,24.0,8.0,0.7588,39.0,23.0,0.7118,0.0,74.0,0.8059,13.0,67.0,0.7529
code_reasoning,5.0,9.0,0.6,5.0,13.0,0.55,1.0,0.0,0.575,6.0,12.0,0.4,0.0,28.0,0.5,0.0,12.0,0.4,1.0,4.0,0.575,2.0,13.0,0.475,4.0,3.0,0.525,5.0,13.0,0.45
cognition_total,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
color,7.0,2.0,0.8333,7.0,6.0,0.7667,3.0,0.0,0.9,3.0,2.0,0.8667,0.0,7.0,0.8333,0.0,2.0,0.85,0.0,1.0,0.8333,1.0,4.0,0.8,0.0,3.0,0.8,1.0,3.0,0.8167
commonsense_reasoning,16.0,17.0,0.5857,22.0,26.0,0.6214,3.0,2.0,0.7,18.0,16.0,0.6786,0.0,44.0,0.6786,0.0,28.0,0.7214,13.0,2.0,0.6714,19.0,5.0,0.65,3.0,6.0,0.7143,14.0,16.0,0.65
count,11.0,10.0,0.6667,6.0,10.0,0.6833,0.0,0.0,0.85,5.0,11.0,0.7833,0.0,21.0,0.6667,0.0,9.0,0.7667,1.0,5.0,0.8167,7.0,11.0,0.6833,0.0,13.0,0.7667,1.0,10.0,0.8
existence,1.0,2.0,0.95,2.0,2.0,0.9333,0.0,0.0,0.9667,2.0,1.0,0.9167,0.0,3.0,0.95,0.0,2.0,0.9667,0.0,3.0,0.95,1.0,3.0,0.9333,0.0,3.0,0.95,0.0,2.0,0.9667
landmark,62.0,38.0,0.75,63.0,39.0,0.745,31.0,0.0,0.8575,79.0,21.0,0.745,0.0,71.0,0.8175,0.0,33.0,0.8725,19.0,6.0,0.8575,56.0,29.0,0.7625,3.0,38.0,0.8725,36.0,46.0,0.795
numerical_calculation,1.0,12.0,0.375,1.0,14.0,0.525,0.0,0.0,0.4,2.0,9.0,0.575,0.0,25.0,0.525,0.0,5.0,0.375,0.0,0.0,0.4,2.0,6.0,0.5,0.0,4.0,0.35,1.0,10.0,0.325
perception_total,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
position,6.0,4.0,0.7,9.0,6.0,0.6167,1.0,0.0,0.75,10.0,1.0,0.7833,0.0,6.0,0.6667,0.0,4.0,0.7,0.0,1.0,0.75,6.0,0.0,0.7667,0.0,3.0,0.7167,7.0,3.0,0.7333
posters,17.0,26.0,0.7483,18.0,33.0,0.7143,5.0,0.0,0.7551,32.0,25.0,0.6939,0.0,56.0,0.8469,0.0,30.0,0.8469,6.0,12.0,0.7789,22.0,21.0,0.7143,5.0,29.0,0.7721,12.0,32.0,0.7517
scene,14.0,14.0,0.8375,24.0,30.0,0.7975,10.0,0.0,0.8275,21.0,16.0,0.825,0.0,48.0,0.8625,0.0,21.0,0.86,11.0,2.0,0.83,22.0,14.0,0.8075,10.0,21.0,0.83,15.0,26.0,0.82
text_translation,0.0,12.0,0.525,0.0,11.0,0.6,0.0,1.0,0.55,1.0,17.0,0.725,0.0,35.0,0.6,0.0,28.0,0.625,1.0,0.0,0.5,0.0,9.0,0.5,0.0,5.0,0.5,0.0,11.0,0.55
