Subtask,Method,Accuracy,R_No_To_Yes,Yes %
existence,baseline (greedy),0.9667,N/A (Baseline),46.67%
existence,baseline (sample),0.9333,N/A (Baseline),46.67%
existence,vcd (greedy),0.9500,0.5,51.67%
existence,vcd (sample),0.9667,2.0,50.00%
existence,icd (greedy),0.9667,N/A (No Flips),46.67%
existence,icd (sample),0.9167,1.0,45.00%
existence,sid (greedy),0.9500,0.5,51.67%
existence,sid (sample),0.9333,2.0,50.00%
existence,pba (greedy),0.9667,1.0,50.00%
existence,olm (greedy),0.9500,0.5,51.67%
existence,apc (sample),0.9500,1.0,48.33%
count,baseline (greedy),0.8500,N/A (Baseline),45.00%
count,baseline (sample),0.6833,N/A (Baseline),51.67%
count,vcd (greedy),0.7667,0.4444,66.67%
count,vcd (sample),0.8000,1.1429,60.00%
count,icd (greedy),0.8500,N/A (No Flips),45.00%
count,icd (sample),0.7833,2.6667,55.00%
count,sid (greedy),0.8167,0.6667,51.67%
count,sid (sample),0.6833,1.0,51.67%
count,pba (greedy),0.7667,0.2857,60.00%
count,olm (greedy),0.6667,0.3125,80.00%
count,apc (sample),0.6667,1.6667,43.33%
position,baseline (greedy),0.7667,N/A (Baseline),63.33%
position,baseline (sample),0.6167,N/A (Baseline),58.33%
position,vcd (greedy),0.7167,0.0,68.33%
position,vcd (sample),0.7333,1.3333,56.67%
position,icd (greedy),0.7500,N/A (No Flips),61.67%
position,icd (sample),0.7833,Infinity,48.33%
position,sid (greedy),0.7500,0.0,65.00%
position,sid (sample),0.7667,3.0,53.33%
position,pba (greedy),0.7000,0.0,70.00%
position,olm (greedy),0.6667,0.0,73.33%
position,apc (sample),0.7000,2.0,60.00%
color,baseline (greedy),0.8500,N/A (Baseline),55.00%
color,baseline (sample),0.7667,N/A (Baseline),53.33%
color,vcd (greedy),0.8000,0.0,60.00%
color,vcd (sample),0.8167,0.8,58.33%
color,icd (greedy),0.9000,N/A (No Flips),50.00%
color,icd (sample),0.8667,1.6667,53.33%
color,sid (greedy),0.8333,0.0,56.67%
color,sid (sample),0.8000,0.6667,60.00%
color,pba (greedy),0.8500,1.0,58.33%
color,olm (greedy),0.8333,0.75,66.67%
color,apc (sample),0.8333,1.3333,46.67%
posters,baseline (greedy),0.7653,N/A (Baseline),27.89%
posters,baseline (sample),0.7143,N/A (Baseline),32.99%
posters,vcd (greedy),0.7721,1.6364,36.05%
posters,vcd (sample),0.7517,4.2857,34.69%
posters,icd (greedy),0.7551,N/A (No Flips),26.19%
posters,icd (sample),0.6939,3.6,25.51%
posters,sid (greedy),0.7789,11.0,29.93%
posters,sid (sample),0.7143,2.6667,27.55%
posters,pba (greedy),0.8469,9.0,38.10%
posters,olm (greedy),0.8469,2.5,46.94%
posters,apc (sample),0.7483,5.2,30.95%
celebrity,baseline (greedy),0.7882,N/A (Baseline),34.71%
celebrity,baseline (sample),0.6765,N/A (Baseline),43.53%
celebrity,vcd (greedy),0.8059,1.1765,56.47%
celebrity,vcd (sample),0.7529,1.4286,50.59%
celebrity,icd (greedy),0.7794,N/A (No Flips),29.12%
celebrity,icd (sample),0.6853,1.4444,33.24%
celebrity,sid (greedy),0.7588,1.6667,30.00%
celebrity,sid (sample),0.7118,2.4,30.00%
celebrity,pba (greedy),0.7559,0.7317,55.59%
celebrity,olm (greedy),0.7529,0.7778,62.94%
celebrity,apc (sample),0.6353,1.1429,35.29%
scene,baseline (greedy),0.8425,N/A (Baseline),39.75%
scene,baseline (sample),0.7975,N/A (Baseline),41.25%
scene,vcd (greedy),0.8300,1.1,42.50%
scene,vcd (sample),0.8200,2.3077,42.50%
scene,icd (greedy),0.8275,N/A (No Flips),37.25%
scene,icd (sample),0.8250,8.0,38.50%
scene,sid (greedy),0.8300,Infinity,37.50%
scene,sid (sample),0.8075,4.0,37.75%
scene,pba (greedy),0.8600,2.0,45.00%
scene,olm (greedy),0.8625,1.4,51.75%
scene,apc (sample),0.8375,4.1667,39.75%
landmark,baseline (greedy),0.8850,N/A (Baseline),50.00%
landmark,baseline (sample),0.7450,N/A (Baseline),44.00%
landmark,vcd (greedy),0.8725,0.7273,58.75%
landmark,vcd (sample),0.7950,1.6897,52.50%
landmark,icd (greedy),0.8575,N/A (No Flips),42.25%
landmark,icd (sample),0.7450,2.0,35.50%
landmark,sid (greedy),0.8575,0.5,46.75%
landmark,sid (sample),0.7625,1.8,43.25%
landmark,pba (greedy),0.8725,0.7368,58.25%
landmark,olm (greedy),0.8175,0.449,67.75%
